SSC_CODE_2016,M_0_4_yrs_Need_for_assistance,M_0_4_No_need_for_assistance,M_0_4_Need_for_assistance_ns,M_0_4_yrs_Tot,M_5_14_Need_for_assistance,M_5_14_No_need_for_assistance,M_5_14_Need_for_assistance_ns,M_5_14_yrs_Tot,M_15_19_Need_for_assistance,M_15_19_No_need_for_assistnce,M_15_19_Need_for_assistnce_ns,M_15_19_yrs_Tot,M_20_24_Need_for_assistance,M_20_24_No_need_for_assistnce,M_20_24_Need_for_assistnce_ns,M_20_24_yrs_Tot,M_25_34_Need_for_assistance,M_25_34_No_need_for_assistnce,M_25_34_Need_for_assistnce_ns,M_25_34_yrs_Tot,M_35_44_Need_for_assistance,M_35_44_No_need_for_assistnce,M_35_44_Need_for_assistnce_ns,M_35_44_yrs_Tot,M_45_54_Need_for_assistance,M_45_54_No_need_for_assistnce,M_45_54_Need_for_assistnce_ns,M_45_54_yrs_Tot,M_55_64_Need_for_assistance,M_55_64_No_need_for_assistnce,M_55_64_Need_for_assistnce_ns,M_55_64_yrs_Tot,M_65_74_Need_for_assistance,M_65_74_No_need_for_assistnce,M_65_74_Need_for_assistnce_ns,M_65_74_yrs_Tot,M_75_84_Need_for_assistance,M_75_84_No_need_for_assistnce,M_75_84_Need_for_assistnce_ns,M_75_84_yrs_Tot,M_85_over_Need_for_assistance,M_85_ov_No_need_for_assistnce,M_85_ov_Need_for_assistnce_ns,M_85_yrs_over_Tot,M_Tot_Need_for_assistance,M_Tot_No_need_for_assistance,M_Tot_Need_for_assistance_ns,M_Tot_Tot,F_0_4_yrs_Need_for_assistance,F_0_4_No_need_for_assistance,F_0_4_Need_for_assistance_ns,F_0_4_yrs_Tot,F_5_14_Need_for_assistance,F_5_14_No_need_for_assistance,F_5_14_Need_for_assistance_ns,F_5_14_yrs_Tot,F_15_19_Need_for_assistance,F_15_19_No_need_for_assistnce,F_15_19_Need_for_assistnce_ns,F_15_19_yrs_Tot,F_20_24_Need_for_assistance,F_20_24_No_need_for_assistnce,F_20_24_Need_for_assistnce_ns,F_20_24_yrs_Tot,F_25_34_Need_for_assistance,F_25_34_No_need_for_assistnce,F_25_34_Need_for_assistnce_ns,F_25_34_yrs_Tot,F_35_44_Need_for_assistance,F_35_44_No_need_for_assistnce,F_35_44_Need_for_assistnce_ns,F_35_44_yrs_Tot,F_45_54_Need_for_assistance,F_45_54_No_need_for_assistnce,F_45_54_Need_for_assistnce_ns,F_45_54_yrs_Tot,F_55_64_Need_for_assistance,F_55_64_No_need_for_assistnce,F_55_64_Need_for_assistnce_ns,F_55_64_yrs_Tot,F_65_74_Need_for_assistance,F_65_74_No_need_for_assistnce,F_65_74_Need_for_assistnce_ns,F_65_74_yrs_Tot,F_75_84_Need_for_assistance,F_75_84_No_need_for_assistnce,F_75_84_Need_for_assistnce_ns,F_75_84_yrs_Tot,F_85_over_Need_for_assistance,F_85_ov_No_need_for_assistnce,F_85_ov_Need_for_assistnce_ns,F_85_yrs_over_Tot,F_Tot_Need_for_assistance,F_Tot_No_need_for_assistance,F_Tot_Need_for_assistance_ns,F_Tot_Tot,P_0_4_yrs_Need_for_assistance,P_0_4_No_need_for_assistance,P_0_4_Need_for_assistance_ns,P_0_4_yrs_Tot,P_5_14_Need_for_assistance,P_5_14_No_need_for_assistance,P_5_14_Need_for_assistance_ns,P_5_14_yrs_Tot,P_15_19_Need_for_assistance,P_15_19_No_need_for_assistnce,P_15_19_Need_for_assistnce_ns,P_15_19_yrs_Tot,P_20_24_Need_for_assistance,P_20_24_No_need_for_assistnce,P_20_24_Need_for_assistnce_ns,P_20_24_yrs_Tot,P_25_34_Need_for_assistance,P_25_34_No_need_for_assistnce,P_25_34_Need_for_assistnce_ns,P_25_34_yrs_Tot,P_35_44_Need_for_assistance,P_35_44_No_need_for_assistnce,P_35_44_Need_for_assistnce_ns,P_35_44_yrs_Tot,P_45_54_Need_for_assistance,P_45_54_No_need_for_assistnce,P_45_54_Need_for_assistnce_ns,P_45_54_yrs_Tot,P_55_64_Need_for_assistance,P_55_64_No_need_for_assistnce,P_55_64_Need_for_assistnce_ns,P_55_64_yrs_Tot,P_65_74_Need_for_assistance,P_65_74_No_need_for_assistnce,P_65_74_Need_for_assistnce_ns,P_65_74_yrs_Tot,P_75_84_Need_for_assistance,P_75_84_No_need_for_assistnce,P_75_84_Need_for_assistnce_ns,P_75_84_yrs_Tot,P_85_over_Need_for_assistance,P_85_ov_No_need_for_assistnce,P_85_ov_Need_for_assistnce_ns,P_85_yrs_over_Tot,P_Tot_Need_for_assistance,P_Tot_No_need_for_assistance,P_Tot_Need_for_assistance_ns,P_Tot_Tot
SSC70071,0,6,0,8,0,11,0,11,0,0,0,0,0,0,0,0,0,11,0,11,0,4,0,7,0,13,0,13,0,3,0,8,0,8,0,9,0,3,0,8,0,0,0,0,0,53,6,61,0,4,0,5,0,6,0,5,0,0,0,3,0,0,0,4,0,4,4,7,0,9,0,4,0,10,0,9,0,6,0,5,0,7,0,7,0,3,0,0,0,0,0,0,5,47,11,62,0,10,0,17,0,13,0,15,0,0,0,3,0,0,0,3,0,12,4,20,0,14,5,15,0,18,0,22,0,14,0,15,0,14,0,16,0,7,0,7,0,0,0,0,3,106,19,127
SSC70072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9
SSC70073,0,129,17,148,3,115,18,132,0,46,5,50,0,260,64,329,7,1030,239,1280,3,497,97,599,9,404,87,497,7,333,65,411,9,123,22,151,3,20,8,27,3,4,0,10,42,2957,631,3636,0,108,18,129,0,105,19,125,0,60,10,73,0,261,64,332,3,882,171,1057,0,343,63,407,7,258,56,327,8,198,33,240,4,88,19,108,9,20,7,30,5,4,0,8,31,2323,472,2836,0,240,41,278,3,222,42,261,0,98,15,121,0,521,135,656,9,1920,416,2334,3,840,163,1007,15,662,147,827,17,532,107,647,8,207,38,263,11,38,6,57,10,9,0,19,72,5288,1109,6464
SSC70074,0,21,3,24,4,53,8,61,0,18,3,23,0,8,4,13,0,32,8,41,0,47,5,55,0,62,11,79,3,47,7,56,5,21,4,30,3,6,0,10,0,0,0,0,17,312,56,384,0,18,3,24,0,47,7,59,0,12,5,22,0,9,3,12,0,42,4,41,0,42,9,48,0,45,6,53,4,29,0,30,3,18,0,24,0,0,0,0,0,0,0,0,5,263,46,315,0,43,5,43,4,99,15,113,0,32,6,43,0,16,10,26,0,71,16,83,0,93,12,108,0,107,20,126,8,70,5,87,3,43,8,55,3,6,7,8,0,0,0,0,20,576,100,696
SSC70075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
SSC70076,0,6,0,6,0,13,0,13,0,7,3,10,0,10,0,12,0,23,0,23,0,13,0,14,0,8,3,11,0,4,0,5,0,5,0,6,0,0,0,3,0,0,0,0,4,90,11,107,0,9,0,6,0,6,0,6,0,0,0,0,0,11,0,11,0,18,5,19,0,10,0,10,0,6,0,9,0,4,0,4,0,4,0,4,0,0,0,0,0,0,0,0,0,71,6,73,0,12,0,12,0,25,0,25,0,10,3,9,0,19,0,20,0,40,5,37,0,28,0,30,0,13,3,21,0,8,3,13,0,13,0,12,0,0,0,3,0,0,0,0,3,159,13,178
SSC70077,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,6,0,7,0,6,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,14,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,13,8,15,0,0,0,0,0,3,0,7,0,0,0,0,0,5,4,10,0,11,3,11,0,8,0,8,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,31,11,37
SSC70078,0,41,3,47,3,74,4,79,0,47,3,54,0,32,3,35,0,76,16,94,0,88,9,96,0,120,17,140,0,110,9,124,3,37,5,53,3,17,3,21,0,3,0,4,14,646,82,739,0,43,3,44,0,82,10,95,0,28,8,31,0,27,8,29,0,107,17,128,3,103,7,114,3,124,16,143,0,79,11,92,3,28,0,40,3,16,0,17,4,3,0,7,23,640,79,740,0,85,5,93,3,159,8,179,0,78,7,85,0,61,9,65,3,188,29,222,3,187,16,207,4,241,31,282,0,187,24,211,5,73,12,86,8,25,4,36,5,3,0,10,34,1289,162,1477
SSC70079,0,0,0,0,0,3,0,8,0,3,3,4,0,5,3,11,0,35,16,54,0,15,7,23,0,17,8,25,0,12,3,15,3,3,0,10,0,0,0,0,0,0,0,0,3,97,47,150,0,11,0,10,0,10,7,10,0,0,0,0,0,6,0,6,0,9,4,15,0,9,4,13,0,8,0,5,0,15,7,14,0,9,0,9,0,0,0,0,0,0,0,0,0,62,27,88,0,12,0,13,0,16,8,18,0,3,3,4,0,10,3,17,0,42,19,66,0,24,12,32,0,23,13,32,0,26,5,33,3,11,0,11,0,0,0,0,0,0,0,0,3,165,70,238
SSC70080,4,105,10,121,11,187,27,227,8,84,15,108,0,105,17,126,0,208,31,244,3,192,27,218,11,187,22,219,10,125,22,146,0,39,7,48,4,12,0,15,0,0,0,0,48,1246,187,1473,3,114,10,135,8,165,28,200,0,97,10,108,3,88,15,108,3,225,29,260,5,200,21,222,11,151,25,187,5,108,15,122,0,40,3,47,6,10,5,20,0,0,0,0,47,1204,163,1409,11,217,25,248,22,356,56,430,7,182,27,216,0,194,35,232,4,435,67,505,8,386,50,438,18,342,45,403,13,227,37,274,0,79,11,92,10,19,7,36,0,0,0,0,90,2444,347,2884
SSC70081,0,4,0,4,0,8,0,8,0,3,0,3,0,0,0,0,0,7,0,7,0,8,0,8,0,17,0,17,0,29,3,26,6,24,3,34,0,3,0,3,0,0,0,0,11,95,10,112,0,0,0,4,0,4,0,4,0,3,0,3,0,3,0,6,0,6,0,6,0,14,0,14,0,16,0,16,0,20,0,20,0,19,3,21,0,3,0,3,0,0,0,0,5,84,3,93,0,4,3,9,0,10,0,10,0,4,0,4,0,3,0,7,0,14,0,14,0,23,0,23,0,26,0,31,0,45,4,50,6,46,9,52,0,4,0,7,0,0,0,0,12,178,10,207
SSC70082,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,9,0,18,3,14,0,17,4,12,0,14,0,3,0,3,0,0,0,0,4,47,4,62,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,4,0,3,0,3,0,9,0,9,0,4,0,4,0,0,0,0,0,0,0,0,0,25,4,25,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,5,0,5,0,14,3,17,3,22,3,26,4,19,0,20,0,3,0,3,0,0,0,0,3,70,9,86
SSC70083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,5,0,10,0,9,3,18,0,8,0,8,0,0,0,0,0,0,0,0,3,38,7,41,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,3,3,0,4,0,3,0,7,0,0,0,0,0,0,0,0,3,21,0,29,0,3,0,3,0,7,0,7,0,0,0,0,0,0,0,0,0,3,0,3,0,12,0,11,0,9,0,16,7,9,3,20,0,13,0,14,0,0,0,0,0,0,0,0,4,57,5,73
SSC70084,7,158,15,182,16,231,12,261,0,85,9,90,4,122,11,133,5,369,37,414,4,257,22,284,0,187,18,213,3,129,11,140,5,45,3,50,0,10,0,10,0,3,0,3,52,1595,130,1772,0,179,22,199,5,236,10,247,0,84,6,89,3,104,15,117,0,373,36,413,0,254,21,272,6,200,7,218,3,118,9,133,3,45,6,55,3,11,3,16,3,0,0,0,30,1605,130,1759,7,333,35,381,18,469,19,505,3,165,11,182,4,224,19,256,6,745,72,826,5,512,37,561,5,390,27,429,8,243,21,272,7,88,14,103,3,19,3,27,3,7,0,4,80,3195,257,3537
SSC70085,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,3,13
SSC70086,0,29,20,46,0,85,12,99,0,53,37,92,0,38,4,47,4,56,7,58,3,60,0,63,4,44,0,44,4,30,0,30,4,8,0,17,3,4,0,10,0,0,0,0,18,410,84,505,0,19,23,42,0,88,37,128,0,53,0,55,0,43,10,48,0,64,9,67,3,71,3,74,0,27,0,30,3,30,0,34,4,4,0,14,3,0,0,3,0,0,0,0,17,398,79,501,0,48,42,93,0,178,49,226,0,101,37,142,0,80,14,92,4,118,12,126,3,134,3,139,3,74,0,82,5,54,3,67,6,20,0,23,7,7,0,12,0,0,0,0,33,812,163,1004
SSC70087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14
SSC70088,3,75,7,91,7,166,21,194,6,80,3,88,3,59,10,73,3,194,30,225,8,172,17,194,10,166,19,190,4,158,23,184,8,83,10,97,5,14,0,23,3,4,0,6,52,1176,136,1362,0,67,6,72,3,166,16,187,0,63,4,72,0,63,3,63,5,256,50,307,0,213,28,241,3,212,19,235,6,194,28,234,8,77,18,103,4,25,0,28,3,3,3,7,36,1343,176,1555,4,143,12,166,8,334,36,381,4,146,7,155,3,123,8,135,10,452,76,538,10,380,41,432,13,383,36,429,15,352,50,415,18,157,27,202,13,41,3,51,3,8,4,17,92,2512,314,2919
SSC70089,0,3,0,3,0,3,0,3,0,6,0,4,0,16,3,17,0,63,3,70,0,22,0,22,0,16,3,17,0,3,3,9,0,3,0,3,0,0,0,0,0,0,0,0,0,137,12,148,0,0,0,0,0,6,0,6,0,4,0,4,0,13,0,13,0,15,0,18,0,12,0,13,0,9,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,3,63,0,4,0,4,0,11,0,11,0,10,0,9,0,29,3,33,0,81,4,82,0,35,0,37,0,23,6,24,0,6,3,9,0,3,0,3,0,0,0,0,0,0,0,0,0,197,15,213
SSC70090,0,0,3,7,0,3,5,9,0,6,4,4,0,3,3,8,0,14,6,16,0,4,3,10,0,9,15,26,0,10,5,11,0,6,0,10,0,0,0,0,0,0,0,0,0,48,51,99,0,3,0,3,0,4,5,16,0,0,0,0,0,3,3,6,0,3,3,3,0,5,13,14,0,14,12,22,0,8,5,14,0,3,3,10,0,0,0,0,0,0,0,0,0,45,46,88,0,3,3,4,0,11,14,26,0,6,3,6,0,9,12,19,0,15,9,22,0,10,16,31,0,21,19,44,0,11,10,23,0,7,6,13,0,0,0,0,0,0,0,0,3,94,91,186
SSC70091,0,20,0,22,0,35,4,39,0,11,0,10,0,13,0,13,0,20,0,23,0,19,5,21,0,7,0,13,0,6,0,6,0,3,0,7,3,0,0,4,0,0,0,0,10,148,8,160,0,17,0,17,0,38,3,39,0,13,0,16,0,11,0,11,0,25,0,26,0,21,0,26,0,17,0,15,0,13,0,18,3,7,0,8,0,0,0,0,0,0,0,0,10,164,3,176,0,40,0,39,0,76,8,83,0,24,3,24,0,27,0,27,0,45,3,49,0,39,3,43,3,23,0,26,5,21,0,30,6,7,0,18,3,0,0,3,0,0,0,0,17,307,18,339
SSC70092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC70093,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3,0,7,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,3,19,0,19,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,7,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,17,7,18,0,5,0,5,0,3,0,3,0,3,0,3,0,0,0,3,0,3,0,3,0,0,0,3,3,4,3,11,0,3,0,3,0,11,0,11,0,0,0,0,0,0,0,0,0,30,7,39
SSC70094,0,13,0,13,0,13,3,15,0,18,0,18,0,18,0,18,0,18,4,19,0,19,0,16,0,21,6,24,3,19,0,21,0,4,0,9,0,0,0,0,0,0,0,0,9,135,10,154,0,9,0,13,0,16,0,17,0,10,0,15,0,19,3,26,0,19,0,22,0,15,3,19,0,13,3,19,0,7,0,8,6,6,0,14,0,3,0,3,0,0,0,0,11,126,12,145,0,28,0,24,3,32,3,34,0,30,0,30,0,35,3,39,0,33,3,41,0,35,3,37,3,34,10,44,4,25,0,30,3,11,0,17,0,3,0,3,0,0,0,0,14,261,26,302
SSC70095,0,9,0,9,0,21,0,23,0,7,0,7,0,13,0,13,0,8,0,8,0,3,0,3,0,5,0,5,0,3,0,5,0,3,0,3,0,0,0,0,0,0,0,0,3,74,0,73,0,3,0,3,0,5,0,5,0,6,0,6,0,9,0,9,0,10,0,10,0,18,0,18,0,13,0,13,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,3,74,0,73,0,10,0,10,0,30,0,25,0,13,0,13,0,23,0,23,0,19,0,19,0,21,0,21,0,18,0,18,0,6,0,13,0,4,0,4,0,0,0,3,0,0,0,0,8,148,0,154
SSC70096,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,4,3,7,0,3,3,3,0,6,3,8,0,9,3,12,0,5,0,7,0,0,3,5,0,0,0,0,0,29,13,42,0,3,0,3,0,3,4,10,0,0,0,3,0,0,0,0,0,5,3,10,0,3,5,4,0,6,0,6,0,6,0,6,0,7,0,4,0,0,0,0,0,0,0,0,0,33,14,47,0,3,0,6,0,4,4,14,0,5,0,0,0,0,0,0,0,11,3,15,0,4,6,10,0,14,3,13,0,13,3,15,0,9,4,7,0,0,3,5,0,0,0,0,0,63,28,94
SSC70097,3,55,7,62,0,133,18,153,3,51,3,59,0,35,6,41,0,186,16,205,0,146,21,176,0,187,16,210,3,150,12,164,16,100,20,136,17,42,4,66,20,5,3,28,63,1103,134,1302,0,58,10,66,0,127,17,141,3,40,3,49,0,40,0,44,6,196,32,230,0,178,18,195,0,172,24,193,3,132,16,151,10,101,16,127,26,44,6,74,34,11,9,47,84,1090,148,1318,3,114,10,131,0,260,31,294,3,91,10,109,0,77,9,84,6,382,50,435,0,327,39,371,3,360,41,402,7,284,29,319,28,197,38,260,41,86,9,142,53,16,9,79,143,2200,281,2624
SSC70098,0,76,7,82,4,127,20,145,4,31,7,42,0,52,7,58,0,145,12,158,0,113,20,132,0,68,9,78,5,38,0,40,10,11,0,23,7,4,3,14,8,0,0,8,41,666,77,787,0,80,8,86,0,89,8,95,0,33,3,36,0,44,7,47,0,145,10,158,0,122,17,139,0,72,7,82,7,22,3,32,5,18,3,19,12,9,0,21,9,0,0,5,29,633,64,726,0,153,14,169,10,212,27,246,4,66,7,79,0,97,14,105,0,292,28,320,0,233,32,268,5,144,12,155,9,57,4,70,15,26,6,43,16,10,4,31,16,0,0,12,73,1297,141,1518
SSC70099,0,11,0,13,0,18,0,18,0,8,0,8,0,9,0,9,0,19,0,18,0,12,0,13,0,8,0,8,0,5,3,6,0,3,0,0,0,0,0,0,0,0,0,0,5,92,6,101,0,6,0,6,0,18,0,14,0,3,0,3,0,6,0,6,0,21,0,22,0,9,0,9,0,10,0,13,0,6,3,13,0,0,0,3,0,0,0,0,0,0,0,0,9,81,10,93,0,19,0,19,0,33,0,38,0,14,0,14,0,12,0,12,0,40,0,42,0,19,0,17,0,18,7,23,0,15,3,20,0,3,0,7,3,0,0,3,0,0,0,0,8,171,17,192
SSC70100,0,3,0,3,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,5,4,6,0,3,3,9,0,3,3,4,0,3,0,0,0,0,0,0,0,28,13,40,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,5,7,0,4,0,7,0,4,3,8,0,0,0,0,0,0,0,0,0,14,10,23,0,4,0,4,0,4,0,4,0,0,3,3,0,0,0,0,0,9,0,6,0,0,0,0,0,3,9,11,0,7,3,17,0,9,4,11,0,3,0,0,0,0,0,0,0,40,23,64
SSC70101,0,0,0,0,0,7,0,10,0,0,0,3,0,5,0,5,0,7,3,10,0,3,3,3,0,14,4,14,0,7,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10,52,0,0,0,0,0,6,3,8,0,3,0,3,0,0,0,0,0,8,0,6,0,7,3,7,0,5,0,5,0,0,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,32,10,43,0,0,0,0,0,13,3,20,0,5,0,8,0,5,0,3,0,8,10,14,0,9,6,13,0,16,4,23,0,5,3,9,0,3,0,3,0,0,0,0,0,0,0,0,0,67,22,97
SSC70102,0,6,0,10,0,12,4,18,0,3,0,3,0,0,0,0,0,11,0,14,0,19,6,24,0,11,0,10,0,4,4,8,0,5,0,10,0,0,0,3,0,0,0,0,8,69,16,90,0,3,0,9,0,6,3,9,0,6,0,6,0,0,0,0,0,10,4,15,0,9,3,12,0,11,3,14,0,0,0,5,0,6,0,10,0,0,0,0,0,0,0,0,0,61,13,75,0,8,0,16,0,14,9,25,0,11,0,11,0,0,0,0,0,26,7,32,0,23,12,34,0,21,4,23,0,7,7,13,0,12,6,13,0,3,0,0,0,0,0,0,7,129,35,166
SSC70103,0,3,3,4,0,3,0,3,0,0,0,3,0,3,0,3,0,4,0,5,0,10,6,14,0,4,3,8,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24,19,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,3,3,4,0,3,0,3,0,0,0,3,0,3,0,3,0,7,0,4,0,8,6,17,0,6,3,9,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,29,19,48
SSC70104,0,4,0,4,0,10,0,10,0,0,0,3,0,4,0,4,0,6,3,9,0,6,3,5,0,4,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,45,0,10,0,10,0,7,3,7,0,4,0,4,0,3,0,4,0,8,0,6,0,4,0,4,0,4,0,3,0,4,3,5,0,0,0,3,0,0,0,0,0,0,0,0,0,44,6,57,0,12,0,12,0,13,3,20,0,5,0,8,0,6,0,8,0,11,3,15,0,15,3,17,0,9,3,8,0,4,3,8,0,6,3,3,0,0,0,0,0,0,0,0,0,87,14,103
SSC70105,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,0,3,3,0,0,0,4,0,6,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,24
SSC70106,0,104,14,119,13,252,12,278,4,111,3,116,6,82,7,87,14,180,7,195,6,113,5,127,25,91,8,117,4,52,4,60,10,3,0,14,3,3,0,4,0,0,0,0,77,980,55,1116,0,72,10,83,5,210,7,218,4,105,3,115,3,90,3,94,4,183,12,196,4,135,6,142,19,99,10,124,14,65,3,88,9,12,0,23,3,0,0,3,0,0,0,0,64,973,51,1093,3,180,20,201,22,465,12,496,9,215,10,233,7,168,8,179,12,362,22,393,13,245,9,271,36,186,11,243,22,118,11,142,21,19,0,36,8,0,0,13,0,0,0,0,150,1958,103,2206
SSC70107,0,5,42,47,0,6,80,89,0,3,51,56,0,3,39,49,0,8,79,95,0,5,50,53,0,5,26,37,0,6,22,27,0,4,6,11,0,0,0,0,0,0,0,0,3,51,403,452,0,9,40,41,0,10,81,84,0,6,39,45,0,3,42,44,0,14,75,86,0,5,73,78,0,7,37,43,0,10,21,27,0,0,9,9,0,0,0,3,0,0,0,0,0,61,410,465,0,12,82,94,0,14,162,174,0,14,88,101,0,5,81,92,0,23,157,184,0,7,118,132,0,14,63,75,0,15,39,52,0,4,12,13,0,0,4,5,0,0,0,0,3,109,814,923
SSC70108,0,8,3,5,0,0,0,0,0,4,3,5,0,10,10,13,0,5,4,9,0,5,5,13,0,3,0,7,0,5,0,5,0,0,0,5,0,3,0,3,0,0,0,0,0,44,26,71,0,6,0,3,0,6,0,6,0,0,4,3,0,13,6,13,0,10,3,13,0,0,0,0,0,3,0,3,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,37,14,52,0,9,3,12,0,3,0,3,0,7,4,9,0,17,10,29,0,16,10,19,0,7,3,12,0,8,0,9,0,10,0,10,0,7,0,7,0,3,0,3,0,0,0,0,0,84,37,124
SSC70109,0,129,19,155,9,296,33,335,7,127,22,154,0,102,19,121,8,281,63,348,0,282,42,317,11,241,36,285,5,185,21,211,13,71,17,101,5,24,4,33,3,6,0,7,59,1738,280,2074,0,147,16,165,10,280,36,329,5,97,15,113,10,110,12,134,3,322,65,387,11,285,41,333,7,288,41,340,14,193,28,236,5,86,14,108,14,28,11,46,7,5,3,16,84,1838,280,2202,0,280,44,317,23,577,65,669,6,224,35,266,10,211,36,251,6,603,126,741,12,562,78,654,16,526,83,627,20,374,56,447,19,158,32,202,21,45,13,84,15,8,3,20,146,3571,558,4278
